ชื่อสาขา,ห้าง,จังหวัด,ภูมิภาค,STORE_ID,STORE_NAME
อำนาจเจริญ,บิ๊กซี,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,S00913,BC-AMNATCHAROEN
อ่างทอง,บิ๊กซี,อ่างทอง,ภาคตะวันตกและตะวันออก,S00914,BC-ANGTHONG
อยุธยา,บิ๊กซี,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก,S00916,BC-AYUTTHAYA
เพชรเกษม 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00876,BC:PETCHKASEM_1
เพชรเกษม 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00865,BC:PETCHKASEM_2
เอกมัย,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00889,BC:EKKAMAI
แจ้งวัฒนะ 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00804,BC:CHANGWATTANA_1
แฟชั่นไอส์แลนด์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00813,BC:FASHION_ISLAND
กัลปพฤกษ์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00892,BC:KALLAPRAPRUK
ดอนเมือง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00887,BC:DONMAUNG
ดาวคะนอง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00888,BC:DOWKANONG
บางนา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00823,BC:BANGNA
บางบอน,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00810,BC:BANGBON
บางปะกอก,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00886,BC:BANGPAKOK
ประชาอุทิศ,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00900,BC:PRACHA_UTHID
พระราม 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00844,BC:RAMA2
พระราม 2 (2),บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00902,BC:RAMA2_2
พระราม 4,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00808,BC:RAMA4
ร่มเกล้า,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00877,BC:ROMKRAW
รังสิต 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S01169,BC:RANGSIT2
รัชดา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00743,BC:RATCHADA
ราชดำริ,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00901,BC:RADDUMRI
รามอินทรา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00812,BC:RAMINTRA
ราษฎร์บูรณะ จัมโบ้,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S01184,BC:JUMBO-RADBURANA
ลาดพร้าว 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00875,BC:IMPERIAL-LADPRAO_1
ลาดพร้าว 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00882,BC:LADPRAO_2
วงศ์สว่าง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00912,BC:WONGSAWANG
สวนหลวง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00909,BC:SUANG_LUNG
สะพานควาย,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,S00757,BC:SAPANKWAI
