ชื่อสาขา,ห้าง,จังหวัด,ภูมิภาค
อำนาจเจริญ,บิ๊กซี,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ
อ่างทอง,บิ๊กซี,อ่างทอง,ภาคตะวันตกและตะวันออก
อยุธยา,บิ๊กซี,พระนครศรีอยุธยา,ภาคตะวันตกและตะวันออก
เพชรเกษม 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เพชรเกษม 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
เอกมัย,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
แจ้งวัฒนะ 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
แฟชั่นไอส์แลนด์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
กัลปพฤกษ์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ดอนเมือง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ดาวคะนอง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางนา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางบอน,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บางปะกอก,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ประชาอุทิศ,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 2 (2),บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
พระราม 4,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ร่มเกล้า,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รังสิต 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รัชดา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ราชดำริ,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
รามอินทรา,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ราษฎร์บูรณะ จัมโบ้,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดพร้าว 1,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
ลาดพร้าว 2,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
วงศ์สว่าง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สวนหลวง,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สะพานควาย,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สายไหม,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล 3 (1),บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล 3 (2),บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุขาภิบาล 5,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
สุวินทวงศ์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
หทัยราษฎร์,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
หนองจอก,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
หัวหมาก,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
อ่อนนุช,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
อิสรภาพ,บิ๊กซี,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง
บุรีรัมย์,บิ๊กซี,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
หนองกี่ บุรีรัมย์,บิ๊กซี,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
ห้วยแถลง,บิ๊กซี,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
ฉะเชิงเทรา 1,บิ๊กซี,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
ฉะเชิงเทรา 2,บิ๊กซี,ฉะเชิงเทรา,ภาคตะวันตกและตะวันออก
ชัยภูมิ,บิ๊กซี,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
จันทบุรี,บิ๊กซี,จันทบุรี,ภาคตะวันตกและตะวันออก
เชียงใหม่ 1,บิ๊กซี,เชียงใหม่,ภาคเหนือ
เชียงใหม่ 2,บิ๊กซี,เชียงใหม่,ภาคเหนือ
หางดง 1,บิ๊กซี,เชียงใหม่,ภาคเหนือ
หางดง 2,บิ๊กซี,เชียงใหม่,ภาคเหนือ
เชียงราย,บิ๊กซี,เชียงราย,ภาคเหนือ
เชียงราย 2,บิ๊กซี,เชียงราย,ภาคเหนือ
เซ็นทรัลชลบุรี,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
ชลบุรี 1,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
ชลบุรี 2,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
บ่อวิน,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
บ้านบึง ชลบุรี,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยา 1,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยา 2 โฮเรก้า,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
พัทยา 3,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
สัตหีบ,บิ๊กซี,ชลบุรี,ภาคตะวันตกและตะวันออก
ชุมพร,บิ๊กซี,ชุมพร,ภาคใต้
กาฬสินธุ์,บิ๊กซี,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
กำแพงเพชร,บิ๊กซี,กำแพงเพชร,ภาคเหนือ
กาญจนบุรี,บิ๊กซี,กาญจนบุรี,ภาคตะวันตกและตะวันออก
กระนวน,บิ๊กซี,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
ขอนแก่น,บิ๊กซี,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
ขอนแก่น (เมืองเก่า),บิ๊กซี,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
บ้านไผ่,บิ๊กซี,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
กระบี่,บิ๊กซี,กระบี่,ภาคใต้
ลำปาง,บิ๊กซี,ลำปาง,ภาคเหนือ
ลำพูน,บิ๊กซี,ลำพูน,ภาคเหนือ
เลย,บิ๊กซี,เลย,ภาคตะวันออกเฉียงเหนือ
วังสะพุง,บิ๊กซี,เลย,ภาคตะวันออกเฉียงเหนือ
ลพบุรี 1,บิ๊กซี,ลพบุรี,ภาคตะวันตกและตะวันออก
ลพบุรี 2,บิ๊กซี,ลพบุรี,ภาคตะวันตกและตะวันออก
